Filename,Extension,Parent_Folder,Size_MB,Last_Modified,Full_Path
12-month-plan.md,.md,E:\my plan,0.0071,2026-09-12 03:01:36,E:\my plan\12-month-plan.md
README.md,.md,E:\my plan,0.0021,2026-09-12 03:01:34,E:\my plan\README.md
weekly-system.md,.md,E:\my plan,0.0016,2026-09-12 03:01:38,E:\my plan\weekly-system.md
.gitattributes,No_extension,E:\github\csv_manifest_generator,0.0001,2026-09-01 13:08:42,E:\github\csv_manifest_generator\.gitattributes
.gitignore,No_extension,E:\github\csv_manifest_generator,0.0001,2026-09-12 03:45:45,E:\github\csv_manifest_generator\.gitignore
main.py,.py,E:\github\csv_manifest_generator,0.0105,2026-09-14 04:27:05,E:\github\csv_manifest_generator\main.py
manifest.csv,.csv,E:\github\csv_manifest_generator,0.0031,2026-09-14 05:00:23,E:\github\csv_manifest_generator\manifest.csv
README.md,.md,E:\github\csv_manifest_generator,0.0047,2026-09-12 03:45:47,E:\github\csv_manifest_generator\README.md
test.py,.py,E:\github\csv_manifest_generator,0.0007,2026-09-04 12:09:21,E:\github\csv_manifest_generator\test.py
test2.py,.py,E:\github\csv_manifest_generator,0.0018,2026-09-04 13:22:24,E:\github\csv_manifest_generator\test2.py
.gitattributes,No_extension,E:\github\file_batch_renamer,0.0001,2026-09-01 13:08:58,E:\github\file_batch_renamer\.gitattributes
.gitignore,No_extension,E:\github\file_batch_renamer,0.0,2026-09-01 13:08:58,E:\github\file_batch_renamer\.gitignore
app.log,.log,E:\github\file_batch_renamer,0.0001,2026-09-01 13:08:58,E:\github\file_batch_renamer\app.log
Readme.md,.md,E:\github\file_batch_renamer,0.0025,2026-09-01 13:08:58,E:\github\file_batch_renamer\Readme.md
.gitattributes,No_extension,E:\github\python-beginner-programs,0.0001,2026-09-01 13:09:11,E:\github\python-beginner-programs\.gitattributes
README.md,.md,E:\github\python-beginner-programs,0.0024,2026-09-01 13:09:11,E:\github\python-beginner-programs\README.md
.gitattributes,No_extension,E:\github\python_pipeline_core,0.0001,2026-09-01 13:09:25,E:\github\python_pipeline_core\.gitattributes
asset_config.json,.json,E:\github\python_pipeline_core,0.0005,2026-09-01 13:09:25,E:\github\python_pipeline_core\asset_config.json
audit_summary.json,.json,E:\github\python_pipeline_core,0.0002,2026-09-01 13:09:25,E:\github\python_pipeline_core\audit_summary.json
day29_run.log,.log,E:\github\python_pipeline_core,0.1081,2026-09-01 13:09:25,E:\github\python_pipeline_core\day29_run.log
day_01_basics.py,.py,E:\github\python_pipeline_core,0.0004,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_01_basics.py
day_02_anatomy.py,.py,E:\github\python_pipeline_core,0.0005,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_02_anatomy.py
day_03_parents.py,.py,E:\github\python_pipeline_core,0.0009,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_03_parents.py
day_04_validation.py,.py,E:\github\python_pipeline_core,0.0005,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_04_validation.py
day_05_joining.py,.py,E:\github\python_pipeline_core,0.0007,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_05_joining.py
day_06_renaming.py,.py,E:\github\python_pipeline_core,0.0006,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_06_renaming.py
day_07_scanning.py,.py,E:\github\python_pipeline_core,0.0004,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_07_scanning.py
day_08_globbing.py,.py,E:\github\python_pipeline_core,0.0002,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_08_globbing.py
day_09_folders.py,.py,E:\github\python_pipeline_core,0.0006,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_09_folders.py
day_10_moving.py,.py,E:\github\python_pipeline_core,0.0012,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_10_moving.py
day_11_writting.py,.py,E:\github\python_pipeline_core,0.0014,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_11_writting.py
day_12_parsing.py,.py,E:\github\python_pipeline_core,0.0007,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_12_parsing.py
day_13_searching.py,.py,E:\github\python_pipeline_core,0.0006,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_13_searching.py
day_14_replacing.py,.py,E:\github\python_pipeline_core,0.0006,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_14_replacing.py
day_15_json_writing.py,.py,E:\github\python_pipeline_core,0.0008,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_15_json_writing.py
day_16_json_read.py,.py,E:\github\python_pipeline_core,0.0012,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_16_json_read.py
day_17_json_modify.py,.py,E:\github\python_pipeline_core,0.0013,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_17_json_modify.py
day_18_json_fallback.py,.py,E:\github\python_pipeline_core,0.0012,2026-09-01 13:09:25,E:\github\python_pipeline_core\day_18_json_fallback.py
